City,County
Ackley,Hardin
Ackworth,Warren
Adair,Adair
Adel,Dallas
Afton,Union
Agency,Wapello
Ainsworth,Washington
Akron,Plymouth
Albert City,Buena Vista
Albia,Monroe
Albion,Marshall
Alburnett,Linn
Alden,Hardin
Alexander,Franklin
Algona,Kossuth
Allerton,Wayne
Alleman,Polk
Allison,Butler
Alta,Buena Vista
Alta Vista,Chickasaw
Alton,Sioux
Altoona,Polk
Alvord,Lyon
Anamosa,Jones
Andover,Clinton
Andrew,Jackson
Angus,Boone
Anita,Cass
Ankeny,Polk
Anthon,Woodbury
Aplington,Butler
Arcadia,Carroll
Archer,O'Brien
Aredale,Butler
Arion,Crawford
Arispe,Union
Arlington,Fayette
Armstrong,Emmett
Arnolds Park,Dickinson
Arthur,Ida
Asbury,Dubuque
Ashton,Osceola
Aspinwall,Crawford
Atalissa,Muscatine
Athelstan,Taylor
Atkins,Benton
Atlantic,Cass
Auburn,Sac
Audubon,Audubon
Aurelia,Cherokee
Aurora,Buchanan
Avenarius,Dubuque
Avoca,Pottawattamie
Ayrshire,Palo Alto
Badger,Webster
Bagley,Guthrie
Bailey,Mitchell
Baldwin,Jackson
Balltown,Dubuque
Bancroft,Kossuth
Bankston,Dubuque
Barnes City,Mahaska
Barnum,Webster
Bassett,Chickasaw
Batavia,Jefferson
Battle Creek,Ida
Baxter,Jasper
Bayard,Guthrie
Beacon,Mahaska
Beaconsfield,Ringgold
Beaman,Grundy
Beaver,Boone
Bedford,Taylor
Belle Plaine,Benton
Bellevue,Jackson
Belmond,Wright
Bennett,Cedar
Benton,Ringgold
Berkley,Boone
Bernard,Dubuque
Bertram,Linn
Bettendorf,Scott
Bevington,Madison
Birmingham,Van Buren
Blairsburg,Hamilton
Blairstown,Benton
Blakesburg,Wapello
Blanchard,Page
Blencoe,Monona
Blockton,Taylor
Bloomfield,Davis
Blue Grass,Scott
Bode,Humboldt
Bonaparte,Van Buren
Bondurant,Polk
Boone,Boone
Bouton,Dallas
Boxholm,Boone
Boyden,Sioux
Bradgate,Humboldt
Braddyville,Page
Brandon,Buchanan
Brayton,Audubon
Breda,Carroll
Bridgewater,Adair
Brighton,Washignton
Bristow,Butler
Britt,Hancock
Bronson,Woodbury
Brooklyn,Poweshiek
Brunsville,Plymouth
Buckeye,Hardin
Buck Grove,Crawford
Buffalo,Scott
Buffalo Center,Winnebago
Burlington,Des Moines
Burt,Kossuth
Bussey,Marion
Calamus,Clinton
Callender,Webster
Calmar,Winneshiek
Calumet,O'Brien
Camanche,Clinton
Cambridge,Story
Cantril,Van Buren
Carbon,Adams
Carlisle,Warren
Carpenter,Mitchell
Carroll,Carroll
Carson,Pottawattamie
Carter Lake,Pottawattamie
Cascade,Dubuque
Casey,Guthrie
Castalia,Winneshiek
Castana,Monona
Cedar Falls,Black Hawk
Cedar Rapids,Linn
Center Point,Linn
Centerville,Appanoose
Central City,Linn
Centralia,Dubuque
Chariton,Lucas
Charles City,Floyd
Charlotte,Clinton
Charter Oak,Crawford
Chatsworth,Sioux
Chelsea,Tama
Cherokee,Cherokee
Chester,Howard
Chillicothe,Wapello
Churdan,Greene
Cincinnati,Appanoose
Clare,Webste
Clarence,Cedar
Clarinda,Page
Clarion,Wright
Clarksville,Butler
Clayton,Clayton
Clearfield,Taylor
Clear Lake,Cerro Gordo
Cleghorn,Cherokee
Clemons,Marshall
Clermont,Fayette
Clinton,Clinton
Clio,Wayne
Clive,Polk
Clutier,Tama
Coggon,Linn
Coin,Page
Colesburg,Delaware
Colfax,Jasper
College Springs,Page
Collins,Story
Colo,Story
Columbus City,Louisa
Columbus Junction,Louisa
Colwell,Floyd
Conesville,Muscatine
Conrad,Grundy
Conway,Taylor
Coon Rapids,Carroll
Coppock,Henry
Coralville,Johnson
Corning,Adams
Correctionville,Woodbury
Corwith,Hancock
Corydon,Wayne
Cotter,Louisa
Coulter,Franklin
Council Bluffs,Pottawattarmie
Craig,Plymouth
Crawfordsville,Washington
Crescent,Pottawattamie
Cresco,Howard
Creston,Union
Cromwell,Union
Crystal Lake,Hancock
Cumberland,Cass
Cumming,Warren
Curlew,Palo Alto
Cushing,Woodbury
Cylinder,Palo Alto
Dakota City,Humboldt
Dallas Center,Dallas
Dana,Greene
Danbury,Woodbury
Danville,Des Moines
Davenport,Scott
Davis City,Decatur
Dawson,Dallas
Dayton,Webster
Decatur,Decatur
Decorah,Winneshiek
Dedham,Carroll
Deep River,Poweshiek
Defiance,Shelby
Delaware,Delaware
Delhi,Delaware
Delmar,Clinton
Deloit,Crawford
Delphos,Ringgold
Delta,Keokuk
Denison,Crawford
Denver,Bremer
Derby,Lucas
Des Moines,Polk
De Soto,Dallas
De Witt,Clinton
Dexter,Dallas
Diagonal,Ringgold
Dickens,Clay
Dike,Grundy
Dixon,Scott
Dolliver,Emmet
Donahue,Scott
Donnellson,Lee
Doon,Lyon
Dougherty,Cerro Gordo
Dow City,Crawford
Dows,Wright
Drakesville,Davis
Dubuque,Dubuque
Dumont,Butler
Duncombe,Webster
Dundee,Delaware
Dunkerton,Blackhawk
Dunlap,Harrison
Durango,Dubuque
Durant,Cedar
Dyersville,Dubuque
Dysart,Tama
Eagle Grove,Wright
Earlham,Madison
Earling,Shelby
Earlville,Delaware
Early,Sac
East Peru,Madison
Eddyville,Wapello
Edgewood,Delaware
Elberon,Tama
Eldon,Wapello
Eldora,Hardin
Eldridge,Scott
Elgin,Fayette
Elkader,Clayton
Elkhart,Polk
Elk Horn,Shelby
Elkport,Clayton
Elk Run Heights,Black Hawk
Elliott,Montgomery
Ellston,Ringgold
Ellsworth,Hamilton
Elma,Howard
Ely,Linn
Emerson,Mills
Emmetsburg,Palo Alto
Epworth,Dubuque
Essex,Page
Estherville,Emmet
Evansdale,Black Hawk
Everly,Clay
Exira,Audubon
Exline,Appanoose
Fairbank,Buchanan
Fairfax,Linn
Fairfield,Jefferson
Farley,Dubuque
Farmersburg,Clayton
Farmington,Van Buren
Farnhamville,Calhoun
Farragut,Fremont
Fayette,Fayette
Fenton,Kossuth
Ferguson,Marshall
Fertile,Worth
Floris,Davis
Floyd,Floyd
Fonda,Pocahontas
Fontanelle,Adair
Forest City,Winnebago
Fort Dodge,Webster
Fort Madison,Lee
Fostoria,Clay
Franklin,Lee
Fraser,Boone
Fredericksburg,Chickasaw
Frederika,Bremer
Fredonia,Louisa
Fremont,Mahaska
Fruitland,Muscatine
Galt,Wright
Galva,Ida
Garber,Clayton
Garden Grove,Decatur
Garnavillo,Clayton
Garner,Hancock
Garrison,Benton
Garwin,Tama
Geneva,Franklin
George,Lyon
Gibson,Keokuk
Gilbert,Story
Gilbertville,Black Hawk
Gillett Grove,Clay
Gilman,Marshall
Gilmore City,Humboldt
Gladbrook,Tama
Glenwood,Mills
Glidden,Carroll
Goldfield,Wright
Goodell,Hancock
Goose Lake,Clinton
Gowrie,Webster
Graettinger,Palo Alto
Graf,Dubuque
Grafton,Worth
Grand Junction,Greene
Grand Mound,Clinton
Grand River,Decatur
Grandview,Louisa
Granger,Dallas
Grant,Montgomery
Granville,Sioux
Gravity,Taylor
Gray,Audubon
Greeley,Delaware
